Date,Open,High,Low,Close,Adj Close,Volume
1995-03-01,794.330017,829.919983,790.349976,817.210022,817.210022,7600900000
1995-04-01,816.059998,844.419983,810.890015,843.979980,843.979980,6910700000
1995-05-01,844.719971,885.919983,839.429993,864.580017,864.580017,8133750000
1995-06-01,865.669983,941.169983,863.840027,933.450012,933.450012,8795140000
1995-07-01,933.989990,1023.030029,931.989990,1001.210022,1001.210022,9056140000
1995-08-01,1001.570007,1035.189941,970.809998,1020.109985,1020.109985,9872930000
1995-09-01,1019.419983,1070.229980,1008.440002,1043.540039,1043.540039,8983540000
1995-10-01,1041.390015,1050.650024,959.359985,1036.060059,1036.060059,9660490000
1995-11-01,1037.300049,1068.810059,1016.580017,1059.199951,1059.199951,9544310000
1995-12-01,1060.660034,1074.849976,1001.530029,1052.130005,1052.130005,9972500000
1996-01-01,1052.829956,1059.810059,977.789978,1059.790039,1059.790039,11326210000
1996-02-01,1058.260010,1121.890015,1057.819946,1100.050049,1100.050049,10690430000
1996-03-01,1098.939941,1119.839966,1057.869995,1101.400024,1101.400024,10648850000
1996-04-01,1105.770020,1190.869995,1092.439941,1190.520020,1190.520020,11951730000
1996-05-01,1190.479980,1252.810059,1163.209961,1243.430054,1243.430054,14550600000
1996-06-01,1242.540039,1254.119995,1147.750000,1185.020020,1185.020020,11479100000
1996-07-01,1185.640015,1198.040039,1008.440002,1080.589966,1080.589966,11807920000
1996-08-01,1081.339966,1153.900024,1080.410034,1141.500000,1141.500000,9696450000
1996-09-01,1133.300049,1237.260010,1123.140015,1226.920044,1226.920044,10646990000
1996-10-01,1223.729980,1269.619995,1202.359985,1221.510010,1221.510010,12543840000
1996-11-01,1223.719971,1293.750000,1218.229980,1292.609985,1292.609985,10973580000
1996-12-01,1294.780029,1328.949951,1251.030029,1291.030029,1291.030029,11852910000
1997-01-01,1292.650024,1400.530029,1272.339966,1379.849976,1379.849976,14074400000
1997-02-01,1383.969971,1384.510010,1296.880005,1309.000000,1309.000000,12037800000
1997-03-01,1306.209961,1332.339966,1220.400024,1221.699951,1221.699951,11834210000
1997-04-01,1211.280029,1267.410034,1194.160034,1260.760010,1260.760010,12452400000
1997-05-01,1263.930054,1414.260010,1260.939941,1400.319946,1400.319946,12905590000
1997-06-01,1407.069946,1467.290039,1375.449951,1442.069946,1442.069946,12580930000
1997-07-01,1442.650024,1595.760010,1432.420044,1593.810059,1593.810059,14331570000
1997-08-01,1594.670044,1638.260010,1545.130005,1587.319946,1587.319946,13420440000
1997-09-01,1595.069946,1702.489990,1595.069946,1685.689941,1685.689941,14680150000
1997-10-01,1690.790039,1748.780029,1465.839966,1593.609985,1593.609985,18850990000
1997-11-01,1609.619995,1654.430054,1508.410034,1600.550049,1600.550049,11687640000
1997-12-01,1608.560059,1652.839966,1486.510010,1570.349976,1570.349976,14926610000
1998-01-01,1574.099976,1629.540039,1465.609985,1619.359985,1619.359985,13738080000
1998-02-01,1640.060059,1783.739990,1640.060059,1770.510010,1770.510010,14564140000
1998-03-01,1778.719971,1840.829956,1708.479980,1835.680054,1835.680054,16973400000
1998-04-01,1838.150024,1931.829956,1788.739990,1868.410034,1868.410034,17292480000
1998-05-01,1871.810059,1890.800049,1742.050049,1778.869995,1778.869995,14377770000
1998-06-01,1770.369995,1898.619995,1715.040039,1894.739990,1894.739990,15899310000
1998-07-01,1904.239990,2028.180054,1871.719971,1872.390015,1872.390015,17597450000
1998-08-01,1869.719971,1874.310059,1498.729980,1499.250000,1499.250000,15746140000
1998-09-01,1509.010010,1769.709961,1475.489990,1693.839966,1693.839966,15884050000
1998-10-01,1663.300049,1781.630005,1343.869995,1771.390015,1771.390015,19397870000
1998-11-01,1783.709961,2025.040039,1771.400024,1949.540039,1949.540039,17697660000
1998-12-01,1928.510010,2200.629883,1924.150024,2192.689941,2192.689941,19075670000
1999-01-01,2207.540039,2506.679932,2192.679932,2505.889893,2505.889893,20526060000
1999-02-01,2522.379883,2533.439941,2224.209961,2288.030029,2288.030029,17439250000
1999-03-01,2286.830078,2520.629883,2235.189941,2461.399902,2461.399902,21196320000
1999-04-01,2493.070068,2677.760010,2329.870117,2542.860107,2542.860107,23426400000
1999-05-01,2546.330078,2632.739990,2339.120117,2470.520020,2470.520020,18519390000
1999-06-01,2467.510010,2696.870117,2364.590088,2686.120117,2686.120117,19607990000
1999-07-01,2692.959961,2874.919922,2619.080078,2638.489990,2638.489990,20915660000
1999-08-01,2638.310059,2819.899902,2442.219971,2739.350098,2739.350098,20246710000
1999-09-01,2752.330078,2897.530029,2684.699951,2746.159912,2746.159912,21333490000
1999-10-01,2729.040039,2978.629883,2632.010010,2966.429932,2966.429932,22684970000
1999-11-01,2970.929932,3469.350098,2967.629883,3336.159912,3336.159912,28754050000
1999-12-01,3341.100098,4090.610107,3321.570068,4069.310059,4069.310059,31236210000
2000-01-01,4186.189941,4303.149902,3711.090088,3940.350098,3940.350098,33421060000
2000-02-01,3961.070068,4698.459961,3911.840088,4696.689941,4696.689941,35644700000
2000-03-01,4732.819824,5132.520020,4355.689941,4572.830078,4572.830078,43200490000
2000-04-01,4494.890137,4572.839844,3227.040039,3860.659912,3860.659912,35147970000
2000-05-01,3930.179932,3982.379883,3042.659912,3400.909912,3400.909912,30831980000
2000-06-01,3471.949951,4073.729980,3459.850098,3966.110107,3966.110107,33352380000
2000-07-01,3950.590088,4289.060059,3615.790039,3766.989990,3766.989990,30916110000
2000-08-01,3760.949951,4208.729980,3521.139893,4206.350098,4206.350098,33222920000
2000-09-01,4252.149902,4259.870117,3614.659912,3672.820068,3672.820068,34727330000
2000-10-01,3714.479980,3714.479980,3026.110107,3369.629883,3369.629883,44129010000
2000-11-01,3316.510010,3480.010010,2523.040039,2597.929932,2597.929932,38181910000
2000-12-01,2644.090088,3028.750000,2288.159912,2470.520020,2470.520020,44347190000
2001-01-01,2474.159912,2892.360107,2251.709961,2772.729980,2772.729980,49399780000
2001-02-01,2771.570068,2796.889893,2127.500000,2151.830078,2151.830078,36428040000
2001-03-01,2126.300049,2243.780029,1794.209961,1840.260010,1840.260010,44719260000
2001-04-01,1835.219971,2202.860107,1619.579956,2116.239990,2116.239990,42649960000
2001-05-01,2116.239990,2328.050049,2052.409912,2110.489990,2110.489990,41465750000
2001-06-01,2131.120117,2264.580078,1973.699951,2160.540039,2160.540039,36577380000
2001-07-01,2156.760010,2181.050049,1934.670044,2027.130005,2027.130005,32812530000
2001-08-01,2051.560059,2103.159912,1777.109985,1805.430054,1805.430054,32437350000
2001-09-01,1802.290039,1836.189941,1387.060059,1498.800049,1498.800049,30829450000
2001-10-01,1491.449951,1792.869995,1458.410034,1690.199951,1690.199951,43885890000
2001-11-01,1705.520020,1965.089966,1683.989990,1930.579956,1930.579956,38324730000
2001-12-01,1915.130005,2065.689941,1898.979980,1950.400024,1950.400024,35539380000
2002-01-01,1965.180054,2098.879883,1851.489990,1934.030029,1934.030029,39095980000
2002-02-01,1928.829956,1942.150024,1696.550049,1731.489990,1731.489990,34022690000
2002-03-01,1745.489990,1946.229980,1742.079956,1845.349976,1845.349976,34619370000
2002-04-01,1834.589966,1865.369995,1640.969971,1688.229980,1688.229980,38648510000
2002-05-01,1683.760010,1759.329956,1560.290039,1615.729980,1615.729980,39802810000
2002-06-01,1613.500000,1621.500000,1375.530029,1463.209961,1463.209961,36638230000
2002-07-01,1457.040039,1459.839966,1192.420044,1328.260010,1328.260010,45237670000
2002-08-01,1322.469971,1426.760010,1205.680054,1314.849976,1314.849976,31490760000
2002-09-01,1302.670044,1347.270020,1160.069946,1172.060059,1172.060059,29029680000
2002-10-01,1180.260010,1347.579956,1108.489990,1329.750000,1329.750000,38730160000
2002-11-01,1320.949951,1497.439941,1313.719971,1478.780029,1478.780029,35673650000
2002-12-01,1507.939941,1521.439941,1327.189941,1335.510010,1335.510010,29122630000
2003-01-01,1346.930054,1467.349976,1303.640015,1320.910034,1320.910034,30898030000
2003-02-01,1324.739990,1352.069946,1261.790039,1337.520020,1337.520020,24374040000
2003-03-01,1344.209961,1425.729980,1253.219971,1341.170044,1341.170044,31136990000
2003-04-01,1347.540039,1482.489990,1338.229980,1464.310059,1464.310059,30761430000
2003-05-01,1463.000000,1599.920044,1451.319946,1595.910034,1595.910034,38423310000
2003-06-01,1612.099976,1686.099976,1584.699951,1622.800049,1622.800049,41170990000
2003-07-01,1617.300049,1776.099976,1598.920044,1735.020020,1735.020020,38212570000
2003-08-01,1731.630005,1813.819946,1640.880005,1810.449951,1810.449951,30294060000
2003-09-01,1817.920044,1913.739990,1783.459961,1786.939941,1786.939941,39917180000
2003-10-01,1797.069946,1966.869995,1796.089966,1932.209961,1932.209961,41226870000
2003-11-01,1941.310059,1992.270020,1878.069946,1960.260010,1960.260010,34049930000
2003-12-01,1972.969971,2015.229980,1887.459961,2003.369995,2003.369995,35470880000
2004-01-01,2011.079956,2153.830078,1999.770020,2066.149902,2066.149902,45972690000
2004-02-01,2072.129883,2094.919922,1991.050049,2029.819946,2029.819946,35916840000
2004-03-01,2036.920044,2069.020020,1896.910034,1994.219971,1994.219971,42497500000
2004-04-01,1996.449951,2079.120117,1919.390015,1920.150024,1920.150024,40153120000
2004-05-01,1928.719971,1991.869995,1865.400024,1986.739990,1986.739990,32652780000
2004-06-01,1978.520020,2055.649902,1960.260010,2047.790039,2047.790039,32602090000
2004-07-01,2045.530029,2045.530029,1829.060059,1887.359985,1887.359985,35711700000
2004-08-01,1874.930054,1893.130005,1750.819946,1838.099976,1838.099976,30823660000
2004-09-01,1833.369995,1925.849976,1833.329956,1896.839966,1896.839966,31295080000
2004-10-01,1909.589966,1984.180054,1899.329956,1974.989990,1974.989990,35975380000
2004-11-01,1975.479980,2117.889893,1969.319946,2096.810059,2096.810059,37928210000
2004-12-01,2104.580078,2185.560059,2097.860107,2175.439941,2175.439941,44379920000
2005-01-01,2184.750000,2191.600098,2008.680054,2062.409912,2062.409912,43135970000
2005-02-01,2063.270020,2103.449951,2023.000000,2051.719971,2051.719971,36633150000
2005-03-01,2057.469971,2100.570068,1968.579956,1999.229980,1999.229980,39780380000
2005-04-01,2009.089966,2021.819946,1889.829956,1921.650024,1921.650024,37517930000
2005-05-01,1923.229980,2076.800049,1916.030029,2068.219971,2068.219971,34223410000
2005-06-01,2067.229980,2106.570068,2039.689941,2056.959961,2056.959961,36702320000
2005-07-01,2060.969971,2201.389893,2050.300049,2184.830078,2184.830078,32702310000
2005-08-01,2191.489990,2219.909912,2112.250000,2152.090088,2152.090088,34238710000
2005-09-01,2150.030029,2186.830078,2093.060059,2151.689941,2151.689941,34790080000
2005-10-01,2152.699951,2167.000000,2025.579956,2120.300049,2120.300049,36500900000
2005-11-01,2109.889893,2269.300049,2108.860107,2232.820068,2232.820068,35854200000
2005-12-01,2244.850098,2278.159912,2200.510010,2205.320068,2205.320068,34343260000
2006-01-01,2216.530029,2332.919922,2189.909912,2305.820068,2305.820068,41781780000
2006-02-01,2294.110107,2313.530029,2232.679932,2281.389893,2281.389893,37103890000
2006-03-01,2288.149902,2353.139893,2239.540039,2339.790039,2339.790039,47567350000
2006-04-01,2352.239990,2375.540039,2299.419922,2322.570068,2322.570068,39227480000
2006-05-01,2329.790039,2352.560059,2135.810059,2178.879883,2178.879883,45923780000
2006-06-01,2179.820068,2233.879883,2065.110107,2172.090088,2172.090088,43418010000
2006-07-01,2177.909912,2190.439941,2012.780029,2091.469971,2091.469971,36405330000
2006-08-01,2080.340088,2193.340088,2048.219971,2183.750000,2183.750000,38177580000
2006-09-01,2194.560059,2273.300049,2147.439941,2258.429932,2258.429932,37304950000
2006-10-01,2257.000000,2379.290039,2224.209961,2366.709961,2366.709961,42714580000
2006-11-01,2373.489990,2468.419922,2316.820068,2431.770020,2431.770020,38943340000
2006-12-01,2430.750000,2470.949951,2392.949951,2415.290039,2415.290039,35073670000
2007-01-01,2429.719971,2508.929932,2394.659912,2463.929932,2463.929932,42688490000
